ensembl_gene_id	hgnc_symbol	chrom_hsa	entrezgene_id	ensembl_gene_id_mmu	mgi_symbol	chrom_mmu	entrezgene_id_mmu	mgi_id
ENSG00000129673	AANAT	Chr17	15	ENSMUSG00000020804	Aanat	Chr11	11298	MGI:1328365
ENSG00000181409	AATK	Chr17	9625	ENSMUSG00000025375	Aatk	Chr11	11302	MGI:1197518
ENSG00000165029	ABCA1	Chr9	19	ENSMUSG00000015243	Abca1	Chr4	11303	MGI:99607
ENSG00000198691	ABCA4	Chr1	24	ENSMUSG00000028125	Abca4	Chr3	11304	MGI:109424
ENSG00000107331	ABCA2	Chr9	20	ENSMUSG00000026944	Abca2	Chr2	11305	MGI:99606
ENSG00000131269	ABCB7	ChrX	22	ENSMUSG00000031333	Abcb7	ChrX	11306	MGI:109533
ENSG00000160179	ABCG1	Chr21	9619	ENSMUSG00000024030	Abcg1	Chr17	11307	MGI:107704
ENSG00000136754	ABI1	Chr10	10006	ENSMUSG00000058835	Abi1	Chr2	11308	MGI:104913
ENSG00000097007	ABL1	Chr9	25	ENSMUSG00000026842	Abl1	Chr2	11350	MGI:87859
ENSG00000143322	ABL2	Chr1	27	ENSMUSG00000026596	Abl2	Chr1	11352	MGI:87860
ENSG00000115361	ACADL	Chr2	33	ENSMUSG00000026003	Acadl	Chr1	11363	MGI:87866
ENSG00000117054	ACADM	Chr1	34	ENSMUSG00000062908	Acadm	Chr3	11364	MGI:87867
ENSG00000072778	ACADVL	Chr17	37	ENSMUSG00000018574	Acadvl	Chr11	11370	MGI:895149
ENSG00000122971	ACADS	Chr12	35	ENSMUSG00000029545	Acads	Chr5	11409	MGI:87868
ENSG00000169359	SLC33A1	Chr3	9197	ENSMUSG00000027822	Slc33a1	Chr3	11416	MGI:1332247
ENSG00000108684	ASIC2	Chr17	40	ENSMUSG00000020704	Asic2	Chr11	11418	MGI:1100867
ENSG00000110881	ASIC1	Chr12	41	ENSMUSG00000023017	Asic1	Chr15	11419	MGI:1194915
ENSG00000159640	ACE	Chr17	1636	ENSMUSG00000020681	Ace	Chr11	11421	MGI:87874
ENSG00000087085	ACHE	Chr7	43	ENSMUSG00000023328	Ache	Chr5	11423	MGI:87876
ENSG00000267467	APOC4	Chr19	346	ENSMUSG00000074336	Apoc4	Chr7	11425	MGI:87878
ENSG00000127603	MACF1	Chr1	23499	ENSMUSG00000028649	Macf1	Chr4	11426	MGI:108559
ENSG00000122729	ACO1	Chr9	48	ENSMUSG00000028405	Aco1	Chr4	11428	MGI:87879
ENSG00000100412	ACO2	Chr22	50	ENSMUSG00000022477	Aco2	Chr15	11429	MGI:87880
ENSG00000161533	ACOX1	Chr17	51	ENSMUSG00000020777	Acox1	Chr11	11430	MGI:1330812
ENSG00000143727	ACP1	Chr2	52	ENSMUSG00000044573	Acp1	Chr12	11431	MGI:87881
ENSG00000134575	ACP2	Chr11	53	ENSMUSG00000002103	Acp2	Chr2	11432	MGI:87882
ENSG00000102575	ACP5	Chr19	54	ENSMUSG00000001348	Acp5	Chr9	11433	MGI:87883
